target,event,n,mean_ret_h1,median_ret_h1,hit_rate_h1,std_h1,mean_ret_h2,median_ret_h2,hit_rate_h2,std_h2,mean_ret_h3,median_ret_h3,hit_rate_h3,std_h3
00632R.TW,volume_drop,387,-0.0017160991788984319,-0.0006734160690201607,0.35917312661498707,0.012467893318668481,-0.0035333178529957598,-0.0025510787467357687,0.3669250645994832,0.0165725728378324,-0.004727878352976312,-0.004051018483289259,0.37209302325581395,0.019679986893664358
00632R.TW,has_market_brag,175,-0.0017400723379908931,-0.0008628325064863329,0.3485714285714286,0.007539842977370127,-0.0017748177992127179,-0.0019285925082028754,0.4,0.011827550320703269,-0.0018505982300954394,-0.0017049876274370934,0.3942857142857143,0.013734623199800336
00632R.TW,posts_very_high,240,-0.001794632494063511,-0.0022682639900927226,0.30416666666666664,0.01000672905995384,-0.0022504605232592984,-0.0022076750953141655,0.375,0.016796622938168818,-0.003176347130940191,-0.004006006335393164,0.3541666666666667,0.01971909045779073
00632R.TW,sig_potus,120,-0.0018194193736749715,-0.0005208452335658253,0.36666666666666664,0.008063649542230135,-0.0050545264449631385,-0.004260536421022754,0.26666666666666666,0.012245889397737644,-0.0057726128442472215,-0.0051526652669006134,0.3,0.015612022741223554
00632R.TW,long_posts,22,-0.0031101044408607544,-0.0010224695621376956,0.2727272727272727,0.014084630096759716,-0.0023952072564440378,-0.0022915038664558796,0.2727272727272727,0.018001541804332652,-0.004103554107874244,-0.004311603677114806,0.18181818181818182,0.018760154410618426
2303.TW,has_iran,129,0.004719817693325391,0.003125001036855979,0.5271317829457365,0.01669381466663207,0.0064617428192041875,0.003191441911680082,0.5503875968992248,0.022641538165626907,0.005527183387716203,0.005330410984147438,0.5581395348837209,0.029447122473890988
2303.TW,china_chips_combo,15,0.004235386227260762,0.0,0.4,0.02786511138450875,0.005269287255773084,0.0,0.4666666666666667,0.028871361864325165,0.003554409888467114,0.0,0.4,0.03145342121534665
2303.TW,posts_very_high,240,0.003542391631198454,0.0006337854809351784,0.5041666666666667,0.019931545464890767,0.006147074375363304,0.004256133374370141,0.5625,0.028953172409118457,0.007452596520375015,0.003261469391830474,0.5208333333333334,0.037979228701891375
2303.TW,tariff_rising,20,0.0033571905236098876,0.0016394102032358804,0.5,0.011478977686819627,0.005117768724445121,0.006824980107738021,0.6,0.01789716404078404,0.007107716905354522,0.0069579053804831315,0.6,0.02352715567565091
2303.TW,has_chips,46,0.0029079976980149673,0.0,0.43478260869565216,0.020396202843343272,0.0038768991341266773,0.0,0.43478260869565216,0.03200257898966721,0.005416673971297791,0.0,0.45652173913043476,0.034355133080396824
2303.TW,has_market_brag,175,0.0025995025850240154,0.0,0.4685714285714286,0.01976227000532299,0.004489780897013053,0.0,0.4685714285714286,0.03138131292690152,0.004483750320663442,0.0,0.4857142857142857,0.03934484762291962
2303.TW,has_relief,95,0.002479176611891227,0.0,0.42105263157894735,0.022922021581843706,0.005431347821035253,0.0,0.4631578947368421,0.03597257588344559,0.009372250846551937,0.0031545328776922954,0.5157894736842106,0.04252276498347576
2303.TW,attack_heavy,414,0.0024763669134564184,0.0,0.4782608695652174,0.019687801917771322,0.005101368798313718,0.0034004602521678917,0.5434782608695652,0.030127206801691883,0.0066191382380001796,0.0021562876014054044,0.5048309178743962,0.036547708678026855
2303.TW,sig_potus,120,0.002335998429883281,0.0,0.4583333333333333,0.01779513346792111,0.004964173839017599,0.0,0.475,0.027978113438843617,0.006134076005108748,0.002124147243176777,0.5083333333333333,0.03414585672746276
2303.TW,has_russia,432,0.0021310071970715525,0.0,0.44675925925925924,0.017961603078555936,0.0038229747490940835,0.0,0.47685185185185186,0.025237467558128286,0.0042844650631516995,0.0,0.47685185185185186,0.0315548510970161
2303.TW,long_posts,22,0.002115863679072637,0.0,0.45454545454545453,0.016788503227153886,0.0018064382736525562,-0.000927654617892848,0.45454545454545453,0.02563149324509121,0.0010671914792551938,-0.0028707428093132092,0.4090909090909091,0.026632069608908578
2303.TW,volume_spike,212,0.001989051657965288,0.0,0.4669811320754717,0.02127239353773221,0.0017151713252821343,0.0,0.45754716981132076,0.033333211463995996,0.0006949221953514963,0.0,0.45754716981132076,0.037149552621191746
2303.TW,has_attack,1045,0.001975740675182745,0.0,0.46507177033492825,0.01918120062862619,0.0038138786722144566,0.0,0.49186602870813395,0.028181433068210526,0.004822229002508032,0.0,0.4966507177033493,0.03545903160993549
2303.TW,posts_high,614,0.0019464155162533118,0.0,0.46579804560260585,0.01999291933012303,0.0030492530999957496,0.001106743288327272,0.503257328990228,0.029819064467776716,0.0042843193885881954,0.0,0.49185667752442996,0.03740507379925156
2303.TW,short_posts,716,0.001892874758657125,0.0,0.45251396648044695,0.020709196723707652,0.0043931665746869564,0.0,0.48463687150837986,0.029999485808165603,0.00687188964440169,0.0034404610404726865,0.520949720670391,0.03843584412714925
2303.TW,pre_action,101,0.001691499209281642,0.0,0.46534653465346537,0.022056995859300613,0.0014193567162561482,0.0,0.45544554455445546,0.025350319887760056,0.004187512404897296,0.005452636039741332,0.5544554455445545,0.03686918884371094
2303.TW,positive_heavy,871,0.0016629697684085122,0.0,0.4592422502870264,0.020744764672482874,0.002547555114954354,0.0,0.4764638346727899,0.029695186912166185,0.0042368009571558795,0.0,0.4936854190585534,0.03587376134136034
2303.TW,volume_drop,387,0.0015836526837404664,0.0,0.43410852713178294,0.01932395311891922,0.0022937932210683296,0.0,0.4780361757105943,0.0268516406056669,0.0025992437923660614,0.0012135736925888985,0.5090439276485789,0.033325939718833505
2303.TW,pre_tariff,65,0.0015623824201718697,0.0,0.46153846153846156,0.018157599149705363,0.002541349366044481,0.0,0.4461538461538462,0.029363089753672827,0.005918317864100753,0.0,0.46153846153846156,0.0401484570096365
2303.TW,has_night_post,775,0.0015131927578360856,0.0,0.4503225806451613,0.01987956999713676,0.0025287644661060762,0.0,0.47870967741935483,0.028677053488313564,0.003526122773223587,0.0,0.49290322580645163,0.0355690856349763
2303.TW,has_positive,1409,0.001355012685128944,0.0,0.44712562100780695,0.019624224039111994,0.002793954063483934,0.0,0.47196593328601844,0.028633134166315105,0.0044772099039571715,0.0,0.4918381831085876,0.03580568178055734
2303.TW,lots_of_excl,1246,0.0013025450835017953,0.0,0.4518459069020867,0.019784619054465827,0.00284090066104201,0.0,0.4767255216693419,0.028684349660482913,0.004041326829058211,0.0,0.48796147672552165,0.035164365832937305
2303.TW,deal_over_tariff,398,0.001212535185153761,0.0,0.43467336683417085,0.017331784636552217,0.00272014159232942,0.0,0.4849246231155779,0.02599692562728698,0.0023288294410559966,0.0,0.4623115577889447,0.03273535851528526
2303.TW,has_china,416,0.001211323378184131,0.0,0.45913461538461536,0.018715040257777624,0.0026809826485589775,0.0,0.4639423076923077,0.026337162979189276,0.004497814495863537,0.0,0.49038461538461536,0.03388696054323884
2303.TW,posts_low,1020,0.0010732842857927721,0.0,0.4343137254901961,0.021956604252247998,0.001444915037938146,0.0,0.4647058823529412,0.03073589214053957,0.0022336345585698214,0.0,0.4931372549019608,0.037549679607002874
2303.TW,has_deal,437,0.0010518934522681174,0.0,0.4302059496567506,0.01819765226382187,0.002294758594427048,0.0,0.4759725400457666,0.02686987251338204,0.0023278629643525652,0.0,0.45308924485125857,0.03439337054049741
2303.TW,pre_deal,209,0.0010212837040864714,0.0,0.40669856459330145,0.017236725755978354,0.0005644062488801844,0.0,0.4688995215311005,0.023472279144634078,0.0010938125750191905,0.0,0.44019138755980863,0.031182991788857594
2303.TW,deal_only,368,0.0008888823078472393,0.0,0.4266304347826087,0.017386740052892296,0.002466790202166491,0.0,0.48097826086956524,0.02610046068338019,0.002281633404057335,0.0,0.46195652173913043,0.03282519284659838
2303.TW,silence_day,721,0.0008587678857952754,0.0,0.42857142857142855,0.022659645223543346,0.0015106989900928005,0.0,0.47295423023578365,0.032161313071097625,0.0019053905794035562,0.0,0.49375866851595007,0.039247874909390364
2303.TW,has_tariff,145,0.000790161286787212,0.0,0.42758620689655175,0.019113296364973248,0.0025034154620473866,0.0,0.47586206896551725,0.02824379238901277,0.006215509478296076,0.0,0.47586206896551725,0.040051151288067834
