target,period,period_start,period_end,event,n,raw_gap_h1,resid_gap_h1,resid_hit_h1,resid_abs_lift_h1,event_resid_mean_h1,nonevent_resid_mean_h1,raw_gap_h2,resid_gap_h2,resid_hit_h2,resid_abs_lift_h2,event_resid_mean_h2,nonevent_resid_mean_h2,raw_gap_h3,resid_gap_h3,resid_hit_h3,resid_abs_lift_h3,event_resid_mean_h3,nonevent_resid_mean_h3,period_residual_influence_score
2376.TW,2019-09-30,2019-07-01,2019-09-30,deal_only,21,-0.00039588705989826456,-0.0038062110595123468,0.5238095238095238,-0.0005767338218943992,-0.004205447590736751,-0.0003992365312244047,0.0014806366487752221,-0.0031071788307087005,0.5238095238095238,-0.0004042447222524434,-0.005312210204460417,-0.0022050313737517163,0.0038353325998481277,-0.0008896669353528914,0.5238095238095238,-0.0049838602891129,-0.005363565746005372,-0.0044738988106524805,0.31482184252890494
2454.TW,2024-06-30,2024-04-01,2024-06-28,positive_heavy,32,-0.0028247038496344093,-0.0027114797080493706,0.59375,0.0009149905101927883,0.00048549478715751186,0.0031969744952068824,-0.000536229364734961,-0.0013567695530351444,0.5,-0.0007742485772908037,0.0034335668227460266,0.004790336375781171,-0.0005423860716476155,-0.0013691350175793222,0.65625,-0.008298842129134051,0.005589125733168258,0.00695826075074758,0.31479439340667253
0050.TW,2020-12-31,2020-10-01,2020-12-31,has_night_post,47,0.00015252485472117645,0.001084900483378177,0.5531914893617021,-0.0006061894883444899,0.0013610256963194076,0.00027612521294123046,0.00024674403679250233,0.0010173945506393818,0.5531914893617021,0.003118874432287184,0.0032976735654362864,0.0022802790147969047,0.0007803094623144297,0.0012584008619872756,0.5957446808510638,0.0026668770998641844,0.005408423515202389,0.004150022653215114,0.3145402853699189
0050.TW,2019-12-31,2019-10-01,2019-12-31,sig_potus,15,-0.0034552718938736225,-0.0029967073818267485,0.4,-0.0006232382758426048,-0.0016847675565012479,0.0013119398253255005,-0.0030010858680900926,-0.0025348702797703755,0.5333333333333333,-0.0010841588499848238,-0.00011274078524604117,0.0024221294945243345,-0.001960492137361749,-0.001400760587977196,0.5333333333333333,-0.00028980202325579706,0.0020760964515115876,0.0034768570394887836,0.3143593844304307
2308.TW,2019-12-31,2019-10-01,2019-12-31,posts_very_high,28,0.0031705420723319618,0.002772529300667583,0.5,0.0006347330177462248,0.0019095837913172316,-0.0008629455093503516,-0.0015220759859228589,-0.0008769781257765319,0.5,-0.0017390832050553414,0.0003551158818146724,0.0012320940075912043,0.00383918577590368,0.0040935615129954785,0.5357142857142857,-0.0005509455582102182,0.003926960704004965,-0.00016660080899051372,0.3142589018150502
00632R.TW,2019-09-30,2019-07-01,2019-09-30,has_russia,13,-0.00043197700697228934,-0.0002852801803671914,0.3076923076923077,-0.0007122388731693246,-0.002615254357895345,-0.0023299741775281535,-0.0010820285921494582,-0.0009208131162367983,0.38461538461538464,-0.001408930377152267,-0.005662925069285428,-0.00474211195304863,0.0021877344942848012,0.0016538892252800988,0.23076923076923078,-0.0012489039377639663,-0.006009268011200751,-0.00766315723648085,0.3140310163333145
2377.TW,2019-06-30,2019-04-01,2019-06-28,deal_over_tariff,17,0.000527962328527036,0.0004662871056216924,0.4117647058823529,0.003684093172536698,0.00013405768190675465,-0.0003322294237149377,0.0031534220113302825,0.003491581630781068,0.5294117647058824,-0.0022335908946443904,0.002812988056895013,-0.0006785935738860548,-0.0022730784103122538,-0.0012804200745207312,0.47058823529411764,-0.003575595689159057,-0.0005942485901401361,0.0006861714843805952,0.3139345053284936
2308.TW,2020-12-31,2020-10-01,2020-12-31,posts_very_high,22,-0.0017592785064368096,-0.0007852474427295511,0.5,0.0009835956332239684,0.0026880197955417772,0.0034732672382713284,-0.00015141498310184374,0.0005356568675803329,0.5454545454545454,0.004383934312268738,0.007367300227443571,0.006831643359863238,-0.0017330771989658746,-0.0013933316577777032,0.7272727272727273,0.0006887802173713257,0.010525795824975669,0.011919127482753372,0.3136770680523692
2454.TW,2017-06-30,2017-04-03,2017-06-30,has_deal,12,0.000596051490068715,0.0017485795560357822,0.5,-0.001537786453514366,0.0036819424309698138,0.0019333628749340316,-0.0011246796116428214,0.0008787750895315662,0.5833333333333334,-0.005630878040240865,0.004867904568445283,0.003989129478913717,0.0021863371572601892,0.004341541763201688,0.5833333333333334,-0.007189912381086374,0.009199841772186416,0.004858300008984728,0.3135015960891388
2454.TW,2017-06-30,2017-04-03,2017-06-30,deal_over_tariff,12,0.000596051490068715,0.0017485795560357822,0.5,-0.001537786453514366,0.0036819424309698138,0.0019333628749340316,-0.0011246796116428214,0.0008787750895315662,0.5833333333333334,-0.005630878040240865,0.004867904568445283,0.003989129478913717,0.0021863371572601892,0.004341541763201688,0.5833333333333334,-0.007189912381086374,0.009199841772186416,0.004858300008984728,0.3135015960891388
2454.TW,2017-06-30,2017-04-03,2017-06-30,deal_only,12,0.000596051490068715,0.0017485795560357822,0.5,-0.001537786453514366,0.0036819424309698138,0.0019333628749340316,-0.0011246796116428214,0.0008787750895315662,0.5833333333333334,-0.005630878040240865,0.004867904568445283,0.003989129478913717,0.0021863371572601892,0.004341541763201688,0.5833333333333334,-0.007189912381086374,0.009199841772186416,0.004858300008984728,0.3135015960891388
3711.TW,2023-06-30,2023-04-03,2023-06-30,has_attack,46,-0.0013122200851005644,-0.00019299632673697699,0.5434782608695652,0.0007776178670133461,-0.0002468614289305053,-5.386510219352829e-05,0.0012207659022490432,0.0022421818575530644,0.45652173913043476,-0.001858428008304578,0.000302027634414121,-0.0019401542231389432,-0.0038898709479545882,-0.0024281550497088867,0.43478260869565216,0.002917459162831929,-0.0008969348997973179,0.001531220149911569,0.3129218386623122
2376.TW,2019-03-31,2019-01-01,2019-03-29,has_market_brag,6,0.008615194922624246,0.0036609022270309077,0.3333333333333333,0.002972031565286356,0.004168615161966745,0.0005077129349358377,0.00641049135501905,0.0011975938672536416,0.5,-0.0048208048738223284,0.0040665113619117515,0.00286891749465811,0.006832581303118991,0.0007883807587500714,0.5,-0.002746242634664029,0.00666906026660656,0.005880679507856488,0.3127777449020353
00632R.TW,2019-09-30,2019-07-01,2019-09-30,deal_over_tariff,29,-0.0014010773390785059,-0.0006715092466961772,0.3448275862068966,0.00029560146708942827,-0.0027626178816574265,-0.0020911086349612493,-0.002069317662477032,-0.0010541458226421396,0.3793103448275862,-0.001127715103522874,-0.00551444477045526,-0.00446029894781312,-0.00117665823453314,0.00018963511233429948,0.27586206896551724,0.0025912642960377666,-0.007231080583677663,-0.007420715696011962,0.3126360759244953
3711.TW,2017-09-30,2017-07-03,2017-09-29,has_positive,51,0.0017257891621788573,0.0015915083874723558,0.47058823529411764,0.00011566664595432947,-0.0015699999087375697,-0.0031615082962099255,0.003617827002588954,0.00292724333083519,0.39215686274509803,-0.0012363428287962778,-0.0026499393339744133,-0.005577182664809603,0.0020372644292165863,0.0009692450377814668,0.37254901960784315,-0.0024201955365050487,-0.004482436714739418,-0.005451681752520885,0.31260873393900057
2330.TW,2025-03-31,2025-01-02,2025-03-31,volume_spike,17,-0.0007727805205082305,-0.00045726181804860394,0.5294117647058824,0.002810580922880189,-0.002264763203427821,-0.001807501385379217,0.0021527561718549357,0.0028891921558939645,0.5294117647058824,-0.006961510901866577,-0.003226885332159276,-0.00611607748805324,-0.0015279383855208118,-0.0011114751259952947,0.29411764705882354,-0.008281466201453097,-0.010387549079052013,-0.009276073953056718,0.3125796637425406
0050.TW,2018-06-30,2018-04-02,2018-06-29,china_streak_3d,7,0.0014097717687669273,-0.00038625743376344366,0.2857142857142857,0.0017686473350017615,-0.0006883809539221444,-0.0003021235201587008,0.002151826491979707,-2.1175121837789437e-06,0.42857142857142855,0.0022766116513530665,-0.001143087429751022,-0.001140969917567243,0.00010541650262500476,-0.00275856011820267,0.42857142857142855,-0.0011380523769756665,-0.00429714081497328,-0.0015385806967706105,0.3121608530419943
2317.TW,2018-06-30,2018-04-02,2018-06-29,positive_heavy,38,0.0015946483658282966,0.001998709854093236,0.4473684210526316,-0.0029015646357277505,-0.0006879959359706786,-0.002686705790063914,0.0008517195715279681,0.0015081673537165642,0.34210526315789475,-0.0015814629964228492,-0.002522825606239929,-0.004030992959956493,-7.553495791297413e-05,0.0008114396882249499,0.3157894736842105,-0.00194515566115918,-0.004391746928524271,-0.0052031866167492205,0.3121584603642092
2303.TW,2019-09-30,2019-07-01,2019-09-30,has_iran,10,0.0019803614175211864,0.0016545353445888051,0.5,-0.005440845858358771,-7.634649627248635e-05,-0.0017308818408612915,-0.0028960831563448097,-0.0031725910724050687,0.4,-0.0009071134404017439,-0.005734249353668597,-0.0025616582812635286,-0.003839505067347722,-0.0028097396389812433,0.5,-0.005118088673381288,-0.006844695393703239,-0.004034955754721996,0.3118744879271543
00632R.TW,2018-03-31,2018-01-01,2018-03-30,has_market_brag,6,-0.0015840332915455252,0.0002097791115984965,0.16666666666666666,-0.004801264942558782,-0.0017274415152332826,-0.001937220626831779,0.0006288004758459114,0.002714056771635762,0.5,-0.0065771679698218176,-0.0008980670392681245,-0.0036121238109038866,0.0008754662803103565,0.0025088450712729107,0.5,-0.00751974461302646,-0.002923781687310656,-0.005432626758583567,0.3116595777519032
00632R.TW,2020-09-30,2020-07-01,2020-09-30,pre_deal,9,-0.001962975291564343,-0.0008846479539623311,0.4444444444444444,-0.002167728947542192,-0.003816884934543008,-0.002932236980580677,6.664772286032669e-05,-0.001032225747826668,0.3333333333333333,0.0003908192348511582,-0.006467157313114008,-0.00543493156528734,0.0017579564177868305,0.0004332247647237091,0.1111111111111111,-0.005611646290317627,-0.008990905435801992,-0.009424130200525701,0.31157982409825374
